Artist,Year,Title,Date,Medium,Acquisition Date,Department,Classification,Nationality,Gender,Birth Year,Death Year
Katharine Gates,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
David Melamed,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Roberto Evangelista,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
David Medalla,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Tatsumi Orimoto,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Regina Vater,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Stanley Brouwn,1989,Steps of Pedestrians on Paper,1960,Street dust on ten pieces of paper,2007-10-09,Drawings,Drawing,Dutch,Male,1935,
Hamish Fulton,1989,Twelve Day Walk and Eighty Four Paces,1991,"Illustrated book with 26 offset lithographs, printed in color",1996-11-12,Prints & Illustrated Books,Illustrated Book,British,Male,1946,
Marcel Broodthaers,1989,Un coup de dés jamais n'abolira le hasard (A throw of the dice will never abolish chance),1969,"Artist's book. Offset lithograph, thirty-two pages",1982-01-21,Prints & Illustrated Books,Illustrated Book,Belgian,Male,1924,1976
Peter Greenaway,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ken McMullen,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Otto Mühl,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Franz West,1989,Hangaround,1997,"Synthetic polymer paint and gouache on printed paper with cut-and-pasted printed paper, watercolor pan, and pressure-sensitive tape on board in painted wood frame",1998-10-29,Drawings,Drawing,Austrian,Male,1947,2012
Tina Aufiero,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Helene Aylon,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Liz Bachhuber,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Marianne Blankenberg,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
James Brown,1989,Double page frontispiece (folios 2 verso and 4) from SALT NOTES,1990,"Lift ground aquatint, printed in black with collaged watercolor",1991-01-23,Prints & Illustrated Books,Illustrated Book,American,Male,1951,
Roxanne Blanchard,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Andrew Ginzel,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Helen Mayer Harrison,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Newton Harrison,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Rebecca Howland,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Sam Bennett,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Monty Cantsin,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Malcolm Goldstein,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Fred Hopkins,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Guy Klucevsek,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mark Dion,1989,Rescue Archaeology - A Project for the Museum of Modern Art,2004,Colored pencil and pencil on cardstock,2005-02-08,Drawings,Drawing,American,Male,1961,
Kate Ericson,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Simin Farkhondeh,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Francoise Schein,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mel Ziegler,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Giancarlo Neri,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Andreas Gursky,1989,Sha Tin,1994,Chromogenic color print,1995-03-09,Photography,Photograph,German,Male,1955,
Thomas Struth,1989,"Sixth Avenue at 50th Street, New York/Midtown",1978,"Gelatin silver print, printed 1993",1999-06-10,Photography,Photograph,German,Male,1954,
André Cadere,1989,Round Bar of Wood,1972,Wood and paint,2007-10-01,Painting & Sculpture,Sculpture,Romanian,Male,1934,1978
Catherine Beaugrand,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Raymond Hains,1989,UNTITLED,1900,Lithograph,1967-04-11,Prints & Illustrated Books,Print,French,Male,1926,2005
Teresa Bramlette,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Marie-Jose Burki,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Chung-Ho Chak,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Liadin Cooke,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Dorothy Cross,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Rod Rhodes,1989,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Paul Thek,1989,Red Turtle,1974,Synthetic polymer paint and gesso on newspaper,1998-02-05,Drawings,Drawing,American,Male,1933,1988
Alan Saret,1990,Untitled,1970,Colored pencil on paper,1974-02-12,Drawings,Drawing,American,Male,1944,
Marcia Hafif,1990,Hand Drawing,1977,Pencil on paper,1999-10-21,Drawings,Drawing,American,Female,1929,
John Laford,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Glenn Ligon,1990,Untitled (How it feels to be colored me...Doubled),1991,Oilstick on paper,1992-05-13,Drawings,Drawing,American,Male,1960,
Ellen Rumm,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Stephen Prina,1990,"UNTITLED (Computer Diskette, Ed. #6/6)",1987,"Computer Diskette. Ed. #6/6., Wood, plexi glass",1991-01-24,Drawings,Drawing,American,Male,1954,
Betsy Connors,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Paul Garrin,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Marianne Heske,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Nam June Paik,1990,Untitled (Green Ginsburg),1990,Silver dye bleach print,2000-10-12,Photography,Photograph,American,Male,1932,2006
Eleanor Bond,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Kiki Smith,1990,Anemone from A Bestiary,1990,Linoleum cut,1991-01-23,Prints & Illustrated Books,Illustrated Book,American,Female,1954,
Polly Apfelbaum,1990,Blossom,2000,Synthetic velvet and fabric dye,2001-02-12,Painting & Sculpture,Installation,American,Female,1955,
A.T.W.,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Perry Bard,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Leonard Bullock,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Kevin Carter,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
David Askevold,1990,Concert C with Door,1971,Gelatin silver print,2008-02-14,Photography,Photograph,American,Male,1940,2008
Renée Green,1990,Between and Including from the Museum in Progress project Interventions: Cooperation Secession: Individual Exhibitions,1999,"Lithograph, offset printed",2006-06-01,Prints & Illustrated Books,Print,American,Female,1959,
William Anastasi,1990,60 Minutes,1987,Pencil on paper mounted on canvas,1988-02-19,Drawings,Drawing,American,Male,1933,
Braco Dimitrijević,1990,"Casual Passer-by I Met at 4:30 p.m., Berlin",1976,"Pigmented inkjet print, printed 1996",2007-10-11,Photography,Photograph,Bosnian,Male,1948,
Luciano Fabro,1990,Dialectic,1985,"Carrara marble, wood planks and oxidized brass chain",1986-04-07,Painting & Sculpture,Sculpture,Italian,Male,1936,2007
David Hammons,1990,Out of Bounds,1995,"Dirt on paper in artist's frame, with basketball",1997-04-17,Drawings,Drawing,American,Male,1943,
Manuel Acevedo,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Dennis Adams,1990,Patricia Hearst: A Thru Z,1990,Portfolio of twenty-six screenprints,1990-05-02,Prints & Illustrated Books,Print,American,Male,1948,
Mo Bahc,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Vernon Bigman,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Pene Bonita,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Pablo Delano,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Donna Dennis,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Rackstraw Downes,1990,"Irving Trust, College of Insurance and a Flight into Newark",1986,Soft ground etching and aquatint,1987-10-20,Prints & Illustrated Books,Print,American,Male,1939,
Alan Finkel,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mimi Gross,1990,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
David Hammons,1991,Out of Bounds,1995,"Dirt on paper in artist's frame, with basketball",1997-04-17,Drawings,Drawing,American,Male,1943,
Lewis Baltz,1991,"West Wall, R-Ohm Corporation, 16931 Milliken, Irvine",1974,Gelatin silver print,1975-05-14,Photography,Photograph,American,Male,1945,2014
Richard Artschwager,1991,Umble #2,1970,Charcoal on paper,1970-05-12,Drawings,Drawing,American,Male,1923,2013
Renée Green,1991,Between and Including from the Museum in Progress project Interventions: Cooperation Secession: Individual Exhibitions,1999,"Lithograph, offset printed",2006-06-01,Prints & Illustrated Books,Print,American,Female,1959,
Patrick Ireland,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Kim Jones,1991,Untitled,1991,Pencil on paper,1995-06-14,Drawings,Drawing,American,Male,1944,
Win Knowlton,1991,Plowman,1984,Ink and charcoal on paper,1987-04-03,Drawings,Drawing,American,Male,1953,
Robert Price,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ivan Kafka,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Vladimir Kokolia,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Tomas Ruller,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Hanne Tierney,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Tomie Arai,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Marie Barrett,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Brad Buckley,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Kathe Burkhart,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Esperanza Cortes,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Yuri Albert,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Elena Elagina,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Andrei Filippov,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ilya Kabakov,1991,"Scene 1 (plate, folio 6) from THE DREAM OF ABU-SAID and WIND",1990,"Linoleum cut, printed in color, with blue pencil additions",1991-10-16,Prints & Illustrated Books,Illustrated Book,American,Male,1933,
Georgii Kizevalter,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Teresa Murak,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Anna Plotnicka,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mac Adams,1991,Still Life with Cezanne,1977,Gelatin silver print,1992-12-03,Photography,Photograph,American,Male,1943,
Ilan Avervuch,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Betty Beaumont,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Andrea Blum,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Victor Boullion,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mel Chin,1991,The Flag of the Agricultural Revolution,1997,Woodcut,1998-03-05,Prints & Illustrated Books,Print,American,Male,1951,
Lisa Hein,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Bill Jensen,1991,Plate (folio 5) from POSTCARDS FROM TRAKL,1994,"Aquatint, lift ground aquatint, and soft ground etching, printed in black",1994-11-08,Prints & Illustrated Books,Illustrated Book,American,Male,1945,
Joan Jonas,1991,Hurricane Series,1979,Portfolio of five aquatints,1987-05-14,Prints & Illustrated Books,Print,American,Female,1936,
Tadashi Kawamata,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Paul Panhuysen,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Péter Forgács,1991,Meanwhile Somewhere ...1940-1943,1994,"Film transferred to video (black and white, sound)",1995-07-28,Media and Performance Art,Video,Hungarian,Male,1950,
Alexander Honory,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Warren Neidich,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Maria Wasko,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ryszard Wasko,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Else Gabriel,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Rolf Julius,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Milovan Markovic,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Sissel Tolaas,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Sergei Anufriev,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Sergei Bugaev,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Andre Khlobystin,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Min Tanaka,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
IRWIN,1991,NSK Garda Cetinje,2006,Digital print,2006-03-08,Prints & Illustrated Books,Print,Slovenian,Unknown,1983,
Mark Robbins,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Dennis Oppenheim,1992,Study for TIME POCKET,1968,"Cut-and-pasted topographical map, scale plan, typewritten sheet, transfer type, synthetic polymer paint, crayon, felt-tip pen, and pencil on cardboard",1971-10-12,Drawings,Drawing,American,Male,1938,2011
John Ahearn,1992,Faces,1977,Super 8mm film,2016-10-18,Film,Film,American,Unknown,1951,
Even Bie-Larsen,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Heinz Brand,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Matthew Braun,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Kavin Buck,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Peggy Cyphers,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Gretchen Bender,1992,Untitled (Entertainment Cocoon Series),1992,"Laminated thermal transfer print, on two sheets
",1992-05-20,Prints & Illustrated Books,Print,American,Female,1951,2004
Peter Fend,1992,Ocean Earth for the Museum in Progress project Art and Global Media,1998,"Lithograph, offset printed",2006-06-01,Prints & Illustrated Books,Print,Unknown,Male,,
Jarg Geismar,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Scott Gilliam,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Katharina Karrenberg,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Henk Visch,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Rene Pierre Allain,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ida Applebroog,1992,Couples I,1983,Charcoal on paper,1984-11-29,Drawings,Drawing,American,Female,1929,
Jennifer Bartlett,1992,"Black, Gray, White from the portfolio Art Pro Choice II",1991,Woodcut,1999-11-18,Prints & Illustrated Books,Print,American,Female,1941,
Harold Baumbach,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jake Berthot,1992,For Adorno #1,1989,Ink and crayon on paper,1989-05-08,Drawings,Drawing,American,Male,1939,2014
Akademia Ruchu,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Evan Hughes,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Lynn McCary,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
L.C. Armstrong,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Tom Corn,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Anne Deleporte,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Devon Dikeou,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Peter Fend,1993,Ocean Earth for the Museum in Progress project Art and Global Media,1998,"Lithograph, offset printed",2006-06-01,Prints & Illustrated Books,Print,Unknown,Male,,
Clegg and Guttmann,1993,Untitled from the Museum in Progress project The Message as Medium,1990,"Lithograph, offset printed",2006-06-01,Prints & Illustrated Books,Print,Irish,Male,1957,
Donald Lipski,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ulrich Eller,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Hans Peter Kuhn,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Niko Tenten,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Donald Baechler,1993,A Life without Pocket Change,1990,Artist's book,1997-05-28,Prints & Illustrated Books,Illustrated Book,American,Male,1956,
Barbara Bloom,1993,Untitled from the series Work for the Blind,1985,Offset lithograph with embossing,1989-05-30,Prints & Illustrated Books,Print,American,Female,1951,
Mel Bochner,1993,On Certainty/Über Gewissheit and supplementary suite Counting Alternatives: The Wittgenstein Illustrations,1991,Illustrated book with 17 line block reproductions and a supplementary suite,1991-05-22,Prints & Illustrated Books,Illustrated Book,American,Male,1940,
Günther Förg,1993,Munchs Bettdecke,1996,Artist's book,1997-05-28,Prints & Illustrated Books,Illustrated Book,German,Male,1952,2013
Barbara Friedman,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jeanette Christensen,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Rodney Dickson,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Fedo Ertl,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Rose Farrell,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Rini Hurkmans,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Barbara Benish,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Christian Doyle,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Christine Lidrbauch,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Glen Seator,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Patricia Thornley,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Maura Sheehan,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Buffie Johnson,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Cosima von Bonin,1993,Echt Hängengeblieben & Aussteigen durch Drinbleiben,2002,"Chromogenic color print (by Gülsüm Güler); felt-tip pen, pencil, and bird excrement on paper",2005-05-10,Drawings,Drawing,German,Female,1962,
Mark Dion,1993,Rescue Archaeology - A Project for the Museum of Modern Art,2004,Colored pencil and pencil on cardstock,2005-02-08,Drawings,Drawing,American,Male,1961,
Andrea Fraser,1993,Untitled from the Museum in Progress project The Message as Medium,1991,"Lithograph, offset printed",2006-06-01,Prints & Illustrated Books,Print,American,Female,1965,
Friesenwall,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Susan Grayson,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Patrick Ireland,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
John McLaughlin,1993,Untitled,1962,Oil on paper,1987-09-17,Drawings,Drawing,American,Male,1898,1976
John Cage,1993,Not Wanting to say anything about Marcel (with Plexigram II),1969,Illustrated book with eight screenprints,1970-03-05,Prints & Illustrated Books,Illustrated Book,American,Male,1912,1992
Merce Cunningham,1993,Suite by Chance (Movement Chart II C-D-E Extensions),1952,Ballpoint pen and pencil on graph paper,2001-05-08,Drawings,Drawing,American,Male,1919,2009
Jasper Johns,1993,"Peintures & Sculptures & Dessins & Lithos, Jasper Johns, Galerie Rive Droite",1960,Lithograph,1961-11-08,Architecture & Design,Design,American,Male,1930,
Margaret Leng Tan,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Robert Rauschenberg,1993,New York Collections,1968,Offset lithograph,1975-03-31,Architecture & Design,Design,American,Male,1925,2008
Hannan Ashrawi,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
François Barré,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Homi Bhabha,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Sylvie Blocher,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Angela Bulloch,1995,Horizontal Technicolour: Stills with Negative Space (for Parkett no. 66),2002,Chromogenic color print,2003-11-20,Prints & Illustrated Books,Print,Canadian,Female,1966,
Blacklips Performance Cult,1994,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mistress Sonja Blaze,1994,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jennifer Blowdryer,1994,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Janet Bogardus,1994,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Lena Braun,1994,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Nader Ahriman,1994,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Drew Beattie,1994,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Tom Bevan,1994,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Tomas Busch,1994,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Cecilie Dahl,1994,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Gilles Peress,1994,"Falls Unemployment Agency, Falls Road",1988,Gelatin silver print,1994-01-13,Photography,Photograph,French,Male,1946,
Alighiero Boetti,1995,Probing The Mysteries of a Double Life (for Parkett no. 24),1990,"Collotype, with gouache additions",1998-03-05,Prints & Illustrated Books,Print,Italian,Male,1940,1994
Martine Aballea,1995,Jardin Voyageur for the Museum in Progress project Art and Global Media,1998,"Lithograph, offset printed
",2006-06-01,Prints & Illustrated Books,Print,Unknown,Female,1950,
Shuji Ariyoshi,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Vanessa Beecroft,1995,Untitled (for Parkett no. 56),1999,Series of five screenprints,2000-11-09,Prints & Illustrated Books,Print,Italian,Female,1969,
Sadie Benning,1995,The Judy Spots,1995,"Video (black and white, sound)",2000-10-11,Media and Performance Art,Video,American,Female,1973,
Dike Blair,1995,Student Work 1976,1976,Cassette tape,2013-10-10,Prints & Illustrated Books,Audio,Unknown,Male,1952,
Gregg Bordowitz,1994,"Fast Trip, Long Drop",1993,"Video (color, sound)",2000-10-15,Media and Performance Art,Video,American,Male,1964,
Gran Fury,1994,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Tom Kalin,1994,Third Known Nest,1999,"Nine videos (black and white and color, sound)",2000-10-15,Media and Performance Art,Video,American,Male,1962,
Leslie Thornton,1994,Men Fishing from a Pier,1955,Iron wire,1955-11-23,Painting & Sculpture,Sculpture,British,Male,1925,2016
Yvonne Meier,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Sabine Bitter,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
David Cerny,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Daniel Habegger,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Tone E. Ch. Johansen,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Finola Jones,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Colette,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Brad Davis,1995,Untitled (riverscape),1983,Synthetic polymer paint on canvas,1983-04-12,Painting & Sculpture,Painting,American,Male,1942,
Peter Fischli,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Izhar Patkin,1995,The Black Paintings,1986,"Ink and vinyl paint on neoprene, twenty-two panels",1987-10-13,Painting & Sculpture,Installation,Israeli,Male,1955,
Maura Sheehan,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Donald McKay,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Helmut Weber,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Luca Buvoli,1995,Behind the Mask Sign (from 3-D Cover of Not-a-Superhero No. 10),1996,"Wire, plexiglass, cloth, plastic, tinfoil, monofilament, candy wrappers, plastic tubing, plastic straws, plastic netting, and a scrubbie",1998-12-07,Painting & Sculpture,Installation,Italian,Male,1963,
Sukey Krumholz,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Hiromi Niizeki,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Paul Henri Ramirez,1995,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
AMA,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Annette Aust,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Max Boehme,1996,Untitled from the Museum in Progress project Return,1995,"Lithograph, offset printed",2006-06-01,Prints & Illustrated Books,Print,Austrian,Male,1965,
