Artist,Year,Title,Date,Medium,Acquisition Date,Department,Classification,Nationality,Gender,Birth Year,Death Year
David Balfour,2010,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Colin Batty,2010,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
B. D. Fox Independent,2010,Beetlejuice,1988,Poster,Unknown,Film,Work on Paper,Unknown,Unknown,,
Alasdair Gray,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Beca Lipscombe,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Lucy McKenzie,2008,Self-Portrait Falling Over,2004,Pencil on paper,2005-05-10,Drawings,Drawing,British,Female,1977,
Paulina Olowska,2008,Is Display Art or Is Art Display,2004,Cut-and-pasted printed paper and colored ink on paper,2005-05-10,Drawings,Drawing,Polish,Female,1976,
Bernie Reid,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Vito Acconci,2009,"Behavior Fields - Transaction Arenas - Training Grounds - Maneuver Positions: Notes on the Development of a Show (Sonnabend, New York; January 15-29, 1972), Notes Toward Performing a Gallery Space",1973,Illustrated book with photolithographic reproductions,1974-04-23,Prints & Illustrated Books,Illustrated Book,American,Male,1940,
Art Alanis,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Eleanor Antin,2009,100 Boots,1971,"51 postcards, halftone reproduction",2012-02-13,Photography,Photograph,American,Female,1935,
Ida Applebroog,2009,Couples I,1983,Charcoal on paper,1984-11-29,Drawings,Drawing,American,Female,1929,
Alice Aycock,2009,"Study for Project Entitled ""Studies for a Town""",1977,Pencil and spray fixative on graph paper,1978-10-27,Drawings,Drawing,American,Female,1946,
Klara Liden,2009,Moonwalk,2008,"Video (color, sound)",2008-10-08,Media and Performance Art,Video,Swedish,Female,1979,
Gerhard Richter,2008,Self Portrait (Selbstbildnis) from Graphics of Capitalist Realism (Grafik des Kapitalistischen Realismus),1971,"Photolithograph, with varnish additions",1973-01-04,Prints & Illustrated Books,Illustrated Book,German,Male,1932,
